prompt,completion,label
CAUSE2,N1,0
CAUSE3,N1,0
CDC,N3,2
CDCDISTRIB,N2,1
CDCEXTENT,N2,1
CDCFORDEPLOY,N2,1
CDCLONGLAT,N3,2
CDCPLANE,N2,1
CDRVERCOLL,N3,2
CDRVERREPT,N3,2
CHILDMAKE,N2,1
CHILDMANUF,N2,1
CHILDMODEL,N2,1
CHILDMODELNO,N2,1
CHILDSEATUSE,N1,0
CINJSEV,N2,1
CINJURED,N2,1
CITY,N1,0
CLASS,N1,0
CLASS1,N2,1
CLASS2,N2,1
CMAX,N3,2
CONTACT,N1,0
CO_MMI_OTU1,N3,2
CO_MMI_OTU2,N3,2
CRASHCAT,N2,1
CRASHMONTH,N1,0
CRITCAT,N3,2
CTREAT,N2,1
CURBSRC,N2,1
CURBWT,N2,1
CanPos,N3,2
CanPos_Name,N2,1
Canopy_Comp,N1,0
Canopy_Height,N1,0
Capture Method,N1,0
Carapace Width,N1,0
Ceritified_Data_Update,N1,0
Certified,N1,0
Certified_date,N1,0
ChargerLevel,N1,0
ChargerPowerKW,N2,1
City,N1,0
CollMeth,N2,1
Collection_Location,N1,0
CommentsROMN,N3,2
CommentsRhithron,N1,0
CommonName,N1,0
Common_Name,N1,0
Cond_Num,N2,1
Cond_Text,N2,1
Condition,N1,0
Conductivity,N1,0
ContactID,N1,0
Coord_Syst,N2,1
Coord_System,N2,1
Coord_Units,N2,1
Coord_upd,N2,1
Count,N1,0
County,N1,0
CoverClass_Num,N2,1
CoverClass_Text,N1,0
CoverPercent,N1,0
CrashImminentBraking,N1,0
CrashImminentBrakingID,N1,0
Crosswalk_Notes,N1,0
CrusMolPctScLV,N3,2
Cultivation,N1,0
CurbWeightLB,N2,1
Current_Lab_ID,N1,0
CustomMotorcycleType,N1,0
CustomMotorcycleTypeId,N1,0
DAMAGELR,N2,1
DAMAGERF,N2,1
DAMAGERR,N2,1
DAMAPILLAR,N3,2
DAMBPILLAR,N3,2
DAMCPILLAR,N3,2
DAMOTHPILLAR,N3,2
DAMPLANE,N2,1
DAMSEV,N3,2
DB_Meta_ID,N2,1
DClass2,N3,2
DClass3,N3,2
DClass4,N3,2
DEATH,N1,0
DEPLOYEVENT,N1,0
DIRECTL,N3,2
DIRECTLOCATION,N1,0
DIRECTWIDTH,N1,0
DISTRACT,N2,1
DISTRACTN,N2,1
DRGINV,N3,2
DRPRESENT,N2,1
DRVWHEELS,N2,1
DSC_GUID,N3,2
DVANGOTH,N3,2
DVANGTHIS,N3,2
DVCONF,N2,1
DVENERGY,N2,1
DVLAT,N3,2
DVLONG,N3,2
DVMOMENT,N2,1
DVSPEED,N2,1
DVTOTAL,N2,1
DataAccessLevel,N1,0
Date,N1,0
DateNum,N1,0
Date_Added,N1,0
Date_Change,N1,0
DaytimeRunningLight,N1,0
DaytimeRunningLightId,N1,0
Db_Desc,N2,1
Db_Meta_ID,N2,1
Deciduous,N1,0
Definition,N1,0
Density,N1,0
Density_ID,N1,0
Description,N1,0
DesiredSummaryName,N1,0
DestinationMarketId,N1,0
Detection,N1,0
Detection_ID,N1,0
Directions,N1,0
DisplacementCC,N2,1
DriveTypeId,N1,0
DynamicBrakeSupport,N1,0
EDGEDISTZ,N2,1
EDRMETHOD,N2,1
EDROBTAINED,N2,1
EJECTAREA,N2,1
EJECTMED,N2,1
EJECTMEDSTAT,N2,1
EJECTNO,N2,1
EMSDATA,N2,1
EMSDIASTOLIC,N2,1
EMSGCS,N3,2
EMSGCSEYE,N3,2
EMSGCSTIME,N3,2
EMSNO,N2,1
EMSRESPRATE,N2,1
EMSTYPE,N2,1
ENDSHIFT,N1,0
ENG_CYL,N3,2
EPE,N3,2
EPTPctScM,N3,2
EPTTax,N3,2
EPTnoHBPct,N3,2
ETHNICITY,N1,0
EVDriveUnitId,N2,1
EVENT1TO2,N3,2
EVENTDESC,N2,1
EVIDENCE,N1,0
EYEWEAR,N1,0
E_P_0,N3,2
Eco_Notes,N2,1
ElectronicStabilityControl,N1,0
ElectronicStabilityControlId,N1,0
EmailAddress,N1,0
Email_Address,N1,0
EndDate,N1,0
EngineBrakeHP_to,N2,1
EngineConfiguration,N1,0
EngineElectrificationLevel,N1,0
EngineElectrificationLevelId,N1,0
EngineManufacturer,N1,0
EngineModel,N1,0
EngineStrokeCycles,N1,0
EngineTurboId,N1,0
EngineValveTrainDesignId,N1,0
EnteredBy,N1,0
EntertainmentSystemId,N1,0
Enum_Code,N2,1
Enum_Description,N2,1
EphemTax,N3,2
EstHError,N3,2
EstVError,N2,1
Est_H_Error,N3,2
EventDataRecorderId,N1,0
EventName,N1,0
EventQAQCComment,N2,1
Event_ID,N1,0
Evergreen,N1,0
ExploitConcern,N1,0
ExploitConcernDetails,N1,0
FACTOR1,N1,0
FACTOR3,N1,0
FACTOR4,N1,0
FACTOR5,N1,0
FETALMORT,N3,2
FIELDLD,N2,1
FILEREC,N2,1
FILLCAP,N1,0
FRNTBUMP,N2,1
FUELNO,N2,1
FUELTYPE,N1,0
Family,N1,0
FaxNumber,N1,0
Field,N1,0
Field1,N2,1
Field2,N2,1
File_name,N1,0
FiltCollPct,N2,1
Fire,N1,0
First_Name,N1,0
Fixed_by,N1,0
Form,N1,0
ForwardCollisionWarning,N1,0
ForwardCollisionWarningId,N1,0
Found_by,N1,0
FuelDeliveryInjectionType,N1,0
FuelTypePrimary,N1,0
FuelTypePrimaryId,N1,0
FuelTypeSecondary,N1,0
FuelTypeSecondaryId,N1,0
GAD1,N3,2
GLAZINGCONT,N2,1
GLAZLOC,N2,1
GLAZPRE,N2,1
GLAZTYPE,N2,1
GPSUnit,N2,1
Genus,N1,0
Genus species,N1,0
Geo_Datum,N2,1
GrossCombWeightRatingFromId,N1,0
GrossCombWeightRatingToId,N1,0
GrossVehicleWeightRatingFrom,N1,0
GrossVehicleWeightRatingFromId,N1,0
Gust,N1,0
HARNESSDESIGN,N1,0
HBI,N3,2
HBIScM,N3,2
HDOP,N3,2
HEADANGLECAT,N2,1
HEADINGANG,N2,1
HEADRESTDAM,N2,1
HEADRESTYPE,N2,1
HEIGHT,N1,0
HOSPDIASTOLIC,N2,1
HOSPGCS,N3,2
HOSPGCSEYE,N3,2
HOSPGCSLOC,N3,2
HOSPGCSMOTOR,N3,2
HOSPPULSE,N2,1
HOSPRESPRATE,N2,1
HOSPSYSTOLIC,N2,1
HOSPVITALSRC,N2,1
HOWUSED,N1,0
Habitat_ID,N1,0
HeadlampLightSourceID,N1,0
Herb,N1,0
HomePhone,N1,0
Hydrology,N1,0
ICSCONFIDENCE,N2,1
ICSNOTE,N3,2
ICS_TYPE,N2,1
ID,N2,1
IGCYCDOWN,N3,2
IGCYCRASH,N3,2
IMPAIREDCOAG,N2,1
IMPLANTFUS,N3,2
IMPORT_benthos_OE_OE_P_5,N3,2
INITOBJCLASS,N2,1
INJNO,N2,1
INJNUM,N2,1
INJSTATUS,N2,1
INSPTYPE,N2,1
INTDIRECT,N2,1
INTEGRITY,N1,0
INTMAG,N3,2
INTRESTRAINT,N2,1
INTRUSION,N1,0
IPC1_ALT,N3,2
IPC2,N3,2
IPC2_ALT,N3,2
IPC3,N3,2
IPCAREA1,N2,1
IPCAREA2,N2,1
IPCAREA3,N2,1
IPCAREA3_ALT,N2,1
IPCAREA_2ND,N2,1
IPCAREA_3RD,N2,1
IPCCONF1,N3,2
IPCCONF2_ALT,N2,1
IPCCONF3,N3,2
IPCCONF3_ALT,N2,1
IPCCONF_2ND,N3,2
IPC_2ND,N3,2
ISS,N3,2
ITIS_MatchCode,N3,2
ITIS_TSN,N3,2
In_protocol,N2,1
Infraorder,N1,0
Invert Family,N2,1
IsActive,N1,0
JKCOEFFICIENT,N3,2
JKWGT1,N3,2
JKWGT11,N3,2
JKWGT12,N3,2
JKWGT15,N3,2
JKWGT16,N3,2
JKWGT17,N3,2
JKWGT18,N3,2
JKWGT19,N3,2
JKWGT2,N3,2
JKWGT21,N3,2
JKWGT24,N3,2
JKWGT26,N3,2
JKWGT28,N3,2
JKWGT29,N3,2
JKWGT30,N3,2
JKWGT31,N3,2
JKWGT32,N3,2
JKWGT5,N3,2
JKWGT9,N3,2
KeylessIgnition,N1,0
KeylessIgnitionId,N1,0
LATCHPLATE,N1,0
LATCHTETHER,N1,0
LATCHUSE,N1,0
LDEF,N3,2
LF2STAGEDEP,N3,2
LFBC,N3,2
LFBELT,N2,1
LFCURTDEPTIME,N3,2
LFOCCSIZE,N3,2
LFSWITCH,N2,1
LFTRACKPOS,N2,1
LIGHTCOND,N2,1
LINELEFT,N1,0
LOADPATH1_ALT,N1,0
LOADPATH2,N1,0
LOADPATH3,N1,0
LOADPATH_2ND,N1,0
LOCALNO,N2,1
Lab,N1,0
LabQAQCSampleName,N2,1
Label,N1,0
LandUse,N1,0
LaneDepartureWarningId,N1,0
LaneKeepingAssistanceID,N1,0
Large/Rare,N1,0
LatY,N3,2
Lat_Dir,N2,1
Lat_final,N2,1
ListedName,N1,0
Litter,N1,0
Litter_depth,N1,0
Loc_Name,N2,1
Loc_Notes,N2,1
Loc_Type,N2,1
LocationID,N2,1
Logging,N1,0
Long_Dir,N2,1
LowValIndex,N2,1
MAIS,N3,2
MAKE,N1,0
MANCOLL,N3,2
MAXDVLAT,N2,1
MAXDVLATTIME,N2,1
MAXDVRESTIME,N2,1
MOBILITY,N1,0
MODELYR,N1,0
MORTALITY,N1,0
MPD,N3,2
MT_MMI_OTU,N3,2
MT_RIVPACS_2011_OTU,N3,2
Make,N1,0
MakeId,N1,0
ManufacturerFullNameId,N1,0
Meta_File_Name,N1,0
Meta_MID,N3,2
Metals,N1,0
Metric,N1,0
MgmtPriorityDetails,N2,1
MicroHab,N2,1
MiddleInit,N2,1
MidgePctScLV,N3,2
Mod_Num,N2,1
ModelId,N1,0
ModelTest,N1,0
ModelYear,N1,0
MotorcycleChassisType,N1,0
MotorcycleChassisTypeId,N1,0
MotorcycleSuspensionType,N1,0
MotorcycleSuspensionTypeId,N1,0
MtnIndex,N3,2
NUMEVENTS,N2,1
Name,N1,0
NativityDetails,N1,0
NativityID,N1,0
NativityText,N1,0
Nest_ID,N1,0
Network_Code,N1,0
NoJars,N1,0
NoTransectsSampled,N1,0
NonInsPct,N3,2
NonInsPctScM,N3,2
Notch Code,N1,0
Note,N1,0
Notes,N1,0
OBJCONT,N3,2
OBS TYPE,N2,1
OCCNO,N2,1
OCLOCK,N2,1
OE_P_0,N3,2
OE_P_5,N3,2
OPENRF,N2,1
OPENRR,N2,1
OPENTG,N2,1
ORIENTATION,N1,0
OSTEOCOND,N2,1
OVERHANG_REAR,N1,0
O_P_0,N3,2
ObsInits,N2,1
Obs_Code,N2,1
Observation_ID,N1,0
Observer,N1,0
OldPlot,N1,0
One_half_meter,N1,0
Order,N1,0
Organization,N1,0
Origin,N1,0
OriginalParameters,N1,0
Original_Lab_Taxon,N2,1
Original_ROMN_OTU,N2,1
Orth2MidgPct,N3,2
Orth2MidgPctScP,N3,2
OtherBatteryInfo,N1,0
OtherBusInfo,N1,0
OtherEngineInfo,N1,0
OtherRestraintSystemInfo,N1,0
Overstory_ID,N1,0
P1,N3,2
P10,N3,2
P2,N3,2
P3,N3,2
P4,N3,2
P5,N3,2
P6,N3,2
P7,N3,2
P8,N3,2
PARALCOHOL,N2,1
PARDRUG,N2,1
PARINJSEV,N3,2
PARKCODE,N1,0
PCODE,N3,2
PERFORMANCE,N1,0
PLACEMENT,N1,0
POSTINTEGLOSS,N2,1
PREEVENT,N2,1
PREFHE,N3,2
PREGNANT,N1,0
PRELOC,N3,2
PREMOVE,N2,1
PROFILE,N1,0
PSUSTRAT,N3,2
PTIME,N3,2
PVALUE,N3,2
Park,N1,0
ParkAssist,N1,0
ParkCode,N1,0
ParkStatus,N1,0
ParkStatusText,N1,0
Pct Mortality,N2,1
PedestrianAutoEmergencyBraking,N1,0
PedestrianAutoEmergencyBrakingID,N1,0
Person,N1,0
Phenology,N1,0
PlainsIndex,N1,0
PlantCity,N1,0
PlantCountry,N1,0
PlantCountryId,N1,0
Plot_Azimuth,N1,0
Plot_ID,N1,0
Position_Title,N1,0
Precipitation,N1,0
PredPctLV,N3,2
PredPctM,N3,2
PredPctScLV,N3,2
PredatorTax,N2,1
PredatorTaxScP,N2,1
Pres_Text,N2,1
Pretensioner,N1,0
PretensionerId,N1,0
ProcessOrder,N1,0
ProportionOfSampleUsed,N1,0
Protocol_Name,N1,0
PublishedTaxonLevel,N2,1
PublishedTaxonName,N2,1
QA_notes,N3,2
QuadName,N2,1
R2,N3,2
RACE,N1,0
RDLANES,N3,2
REARBUMP,N2,1
RECFRONT2,N3,2
RECFRONT3,N3,2
RECFRPRESS1,N3,2
RECFRPRESS3,N3,2
RECREAR1,N3,2
RECREAR2,N3,2
RECREAR3,N3,2
RECRRPRESS1,N3,2
RECRRPRESS3,N3,2
REGCONTACT2,N2,1
REGCONTACT3_ALT,N2,1
REGCONTACT_2ND,N2,1
REGION,N1,0
RELTOJUNCT,N3,2
REPLICATE,N1,0
RETAINERCLIPDESIGN,N1,0
RETAINERCLIPUSE,N1,0
RFBC,N3,2
RFBELT,N2,1
RFCURTDEPTIME,N3,2
RFDISPOSAL,N2,1
RFOH,N3,2
RFSIDEDEPTIME,N3,2
RFTRACKPOS,N2,1
RIMDEF,N3,2
RIMDEFLOC,N3,2
ROLE,N1,0
ROLLINITYP,N2,1
ROLLINLOC,N2,1
ROLLOBJ,N2,1
ROLLVERT,N2,1
ROMN_OTU,N3,2
ROMN_OTU_ID_Previous,N3,2
ROWIDTH1,N2,1
ROWIDTH2,N2,1
ROWIDTH3,N2,1
RROH,N3,2
RUMBROAD,N2,1
Rain,N1,0
Rating,N1,0
RearAutomaticEmergencyBraking,N1,0
RearAutomaticEmergencyBrakingID,N1,0
RearCrossTrafficAlertID,N1,0
Reason,N1,0
RecordID,N1,0
Reference_Collection,N1,0
Release_ID,N1,0
Release_by,N1,0
Release_date,N1,0
Release_notes,N1,0
Repeat_Sample,N1,0
Report_details,N1,0
Reported_by,N1,0
Residency,N1,0
ResidencyDetails,N1,0
ResidencyText,N1,0
Results_ID,N1,0
Review_Date,N1,0
Revision_Contact_ID,N1,0
Revision_Desc,N2,1
Revision_ID,N1,0
RhithronSiteName,N1,0
Richness,N1,0
Route,N1,0
SAEAutomationLevel_from,N2,1
SCIENTIFIC NAME,N1,0
SEATLOC,N2,1
SEATROW,N1,0
SEQUENCE,N1,0
SEX,N1,0
SHLDRWIDTH,N2,1
SIDEROOF,N1,0
STEERTILTADJ,N2,1
STRUTYPE,N3,2
SUMMARY,N1,0
SURFTYPE,N2,1
SUSPMODS,N2,1
SampleYear,N1,0
SampleZone,N1,0
Sample_Client_ID,N1,0
Sample_Collection_Procedure ID,N1,0
Sample_Date_Collected,N1,0
Saplings_ID,N1,0
ScientificName,N1,0
SeatBeltType,N1,0
SeatBeltTypeId,N1,0
SeatRowsCount,N1,0
SeatsCount,N1,0
Second_Date,N1,0
Seedlings_ID,N1,0
Segment,N1,0
SemiAutoHeadlampBeamSwitching,N1,0
Series,N1,0
Shape,N1,0
ShredderTax,N2,1
ShredderTaxScLV,N2,1
Shrub,N1,0
SiteDescription,N1,0
Site_Desc,N2,1
Site_End_X,N1,0
Site_End_Y,N1,0
Site_Notes,N1,0
Site_Start_Y,N1,0
Slide_Position,N1,0
Slope_Var,N2,1
Slope_shape,N1,0
SnakeID,N1,0
Soil_Dist,N2,1
SortID,N1,0
Sort_Order,N1,0
Source,N1,0
SpCode,N2,1
SpeciesCode,N1,0
Species_Code,N1,0
Stage,N1,0
StageCode,N1,0
StartLat,N2,1
StartLon,N2,1
StartTime,N1,0
StartUTMX,N3,2
Start_Time,N1,0
State_Code,N1,0
Station,N1,0
StatusDetails,N1,0
SteeringLocation,N1,0
StopLat,N2,1
StopUTMX,N2,1
StopUTMY,N2,1
Subfamily,N1,0
Subgenus,N1,0
Suborder,N1,0
Subphylum,N1,0
Subspecies,N1,0
Substrate Temperature,N1,0
SumOfCount,N1,0
Superclass,N1,0
Superorder,N1,0
SurfaceWater,N1,0
Survey,N1,0
TETHERDESIGN,N1,0
TIRELOC,N2,1
TIREMODEL,N1,0
TIRESIZE,N1,0
TIRETREAD,N1,0
TOWED,N1,0
TOWHITCH,N1,0
TPMS,N3,2
TPMSId,N3,2
TRACK,N1,0
TRAFFUNCT,N3,2
TRAJDOC,N2,1
TRANSMISSION,N1,0
TREEPOLE,N2,1
TSN,N3,2
Table,N1,0
Tag,N1,0
Tag#,N1,0
TanypodPctScP,N3,2
Taxon,N2,1
TaxonRhithron,N2,1
TaxonVersionNumber,N2,1
TempC,N2,1
TopSpeedMPH,N2,1
TrackWidthIN,N2,1
TractionControl,N1,0
TractionControlId,N1,0
Transect_Type,N1,0
TransmissionSpeeds,N1,0
TransmissionStyle,N1,0
TransmissionStyleId,N1,0
Trap Type,N1,0
TreeCond_Num,N2,1
TreeCond_Text,N2,1
TreeTag,N1,0
Tree_Tag_ID,N2,1
Tribe,N1,0
Trim2,N1,0
TripReport,N1,0
TruckBodyCabTypeId,N1,0
Type,N1,0
UEW,N3,2
UTMX,N3,2
UTMY,N3,2
Understory_Comp,N1,0
Unique,N1,0
Unpaved,N1,0
Update_By,N1,0
Update_Comments,N1,0
Update_Date,N1,0
Update_ID,N1,0
Updated_By,N1,0
Updated_by,N1,0
Updated_notes,N1,0
UtmZone,N2,1
VEHCLASS,N2,1
VEHICLES,N1,0
VEHNO,N2,1
VEHNUM,N2,1
VERSION,N1,0
VERTDOOR,N2,1
VERTROOF,N2,1
VIN,N3,2
VINDecodeError,N2,1
VINLENGTH,N2,1
VPICMODEL,N3,2
VTREAT,N2,1
ValidName,N1,0
Value,N1,0
Value_New,N1,0
Value_Old,N1,0
Variety,N1,0
VegHeight,N2,1
VehicleDescriptor,N1,0
Verified,N1,0
Verified_by,N1,0
Verified_date,N1,0
Verify_links_startup,N1,0
Version_number,N1,0
Vial_Position,N1,0
WARNLAMP,N2,1
WBRIGHT,N3,2
WEATHER,N1,0
WEIGHT,N1,0
WHEELBASE,N1,0
WORKDAYS,N1,0
WaterTemp,N2,1
Watershed,N1,0
Weather,N1,0
Weedy,N1,0
WheelSizeFrontIN,N2,1
WheelSizeRearIN,N2,1
WheelsCount,N1,0
Wind,N1,0
WindCode,N1,0
Windows,N1,0
Windstorm,N1,0
Witness_Azimuth,N1,0
Witness_stake,N1,0
WoodyDebris,N1,0
WorkPhone,N1,0
X_Coord,N2,1
X_coord,N2,1
Y_coord,N2,1
Y_orig,N3,2
ZIP,N1,0
ZipCode,N1,0
Zip_Code,N1,0
diagram_id,N1,0
hasBenthos_MMI_OE,N2,1
hasBenthos_Metric,N1,0
hasPeriphyton_ChlorAFDM,N2,1
hasPeriphyton_ChlorAFDMQAQC,N2,1
hasPeriphyton_DF,N2,1
hasPeriphyton_Metric,N1,0
hasWaterKiowa,N1,0
hasWaterNRSA,N2,1
notes,N1,0
number killed,N1,0
oldPlot,N1,0
pH,N2,1
principal_id,N1,0
subgenus,N1,0
times,N1,0
utmE,N3,2
version,N1,0
AVOID,N2,1
CHILDSEAT,N2,1
Class,N2,1
EDRCOLLECT,N2,1
EDREVENT,N2,1
EDRPOSTCRASH,N2,1
EDRREST,N3,2
EDRSUMM,N2,1
EMSCARE,N2,1
EVENT,N2,1
FIRE,N2,1
FUEL,N2,1
GLAZING,N2,1
GV,N2,1
INJURY,N2,1
Invert Order,N1,0
JKCOEFF,N2,1
LOCALIZER,N2,1
Month,N2,1
OCC,N2,1
OCCONTACT,N2,1
Observer_LU,N2,1
PRE_FHE,N2,1
Query1,N1,0
Roadkill,N1,0
SEAT,N2,1
SUMMARY_BenthosOE_Events,N2,1
SUMMARY_Benthos_MetricsStacked_Events,N2,1
SUMMARY_Benthos_Taxa_List_ROMN_Only,N2,1
SUMMARY_Benthos_Taxa_List_ROMN_w_Rhithron,N2,1
VEHMEAS,N2,1
VEHSPEC,N2,1
VPICDECODE,N2,1
WILDLIFE MASTERLIST,N1,0
Xwalk_Benthos_Parameter,N1,0
sysdiagrams,N1,0
tblCultivation_LU,N2,1
tblFieldDataAmphibianCallCounts,N2,1
tblFieldDataAmphibianEggMassCounts,N2,1
tblFieldDataCoverBoard,N2,1
tblFieldDataDriftFenceSurveys,N2,1
tblFieldDataTurtleMeasurements,N1,0
tblFieldDataTurtleTrapSurveys,N2,1
tblFieldDataWaterProperties,N2,1
tbl_BenthicLabMetadata,N2,1
tbl_BenthicMetrics,N2,1
tbl_BenthicSpeciesROMNXBioData,N2,1
tbl_BenthicSpeciesReferenceSlides,N2,1
tbl_BenthicSpeciesReferenceVials,N1,0
tbl_BenthicSpeciesRhithronXBioData,N1,0
tbl_BenthicSpeciesRhithronXROMN,N2,1
tbl_Db_Meta,N2,1
tbl_Density,N1,0
tbl_Edit_Log,N1,0
tbl_EventNameOld_Legacy,N2,1
tbl_Events,N2,1
tbl_Locations,N2,1
tbl_MicroHabitat,N2,1
tbl_Observations,N1,0
tbl_Overstory,N2,1
tbl_Plot,N2,1
tbl_Saplings,N2,1
tbl_Sites,N2,1
tbl_Stations,N2,1
tbl_WitnessTrees,N2,1
tlinkObservers,N2,1
tluBehavior,N1,0
tluCallIndex,N1,0
tluCaptureMethod,N1,0
tluEggMassStages,N1,0
tluHabitat,N2,1
tluMicroHabitat,N2,1
tluParkCode,N1,0
tluProject,N1,0
tluSampleZone,N1,0
tluSpecies,N2,1
tlu_BenthicSpeciesBioData,N2,1
tlu_BenthicSpeciesROMN,N2,1
tlu_BenthicSpeciesRhrithron,N2,1
tlu_DataAccessLevel,N1,0
tlu_DataProcessingLevel,N1,0
tlu_DecayStage,N2,1
tlu_PlantSpecies,N2,1
tlu_Presence,N2,1
tlu_R1_RestOfPlot,N2,1
tlu_Slope_Shape,N1,0
tlu_Species,N2,1
tlu_Species_CRLA,N2,1
tlu_Species_LABE,N2,1
tlu_Species_ORCA,N2,1
tlu_Species_REDW,N2,1
tlu_Species_WHIS,N2,1
tlu_topo_position,N2,1
tsys_App_Releases,N2,1
xref_Species_Alternate_Names,N1,0
